ProtName,ModelIdx,ModeIdx,Offset,Orientation
ExdAbdA,7,1,3,1
ExdAbdB,7,1,1,1
ExdAntp,8,1,5,-1
ExdDfd,7,1,2,-1
ExdLab,14,1,3,-1
ExdPb,21,2,3,-1
ExdScr,7,1,2,-1
ExdUbxIa,14,1,2,-1
ExdUbxIVa,10,1,2,1
